SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
AYTK;RAB;RABAUL AIRPORT (TOKUA AIRPORT);RABAUL/TOKUA;;PAPUA-NOVA GUINÉ;N/I;-4,340278;152,379444
AYVN;VAI;VANIMO AIRPORT;VANIMO;;PAPUA-NOVA GUINÉ;N/I;-2,697167;141,302286
AYWD;WBM;WAPENAMANDA AIRPORT;WAPENAMANDA;;PAPUA-NOVA GUINÉ;N/I;-5,643303;143,895411
AYWK;WWK;WEWAK INTERNATIONAL AIRPORT;WEWAK;;PAPUA-NOVA GUINÉ;N/I;-3,583828;143,669186
BGAA;JEG;AASIAAT AIRPORT;AASIAAT (EGEDESMINDE, AUSIAT);;GROENLÂNDIA;N/I;68,721944;-52,784722
BGBW;UAK;NARSARSUAQ AIRPORT;NARSARSUAQ (NARSSARSSUAQ);;GROENLÂNDIA;N/I;61,160556;-45,425556
BGCO;CNP;NERLERIT INAAT AIRPORT (CONSTABLE PYNT AIRPORT);JAMESON LAND;;GROENLÂNDIA;N/I;70,743056;-22,650556
BGGH;GOH;NUUK AIRPORT;NUUK (GODTHÅB);;GROENLÂNDIA;N/I;64,190833;-51,678056
BGJN;JAV;ILULISSAT AIRPORT (JAKOBSHAVN AIRPORT);ILULISSAT (JAKOBSHAVN);;GROENLÂNDIA;N/I;69,243333;-51,057222
BGKK;KUS;KULUSUK AIRPORT;KULUSUK;;GROENLÂNDIA;N/I;65,573611;-37,123611
BGMQ;JSU;MANIITSOQ AIRPORT;MANIITSOQ (SUKKERTOPPEN);;GROENLÂNDIA;N/I;65,4125;-52,939444
BGPT;JFR;PAAMIUT AIRPORT;PAAMIUT (FREDERIKSHÅB);;GROENLÂNDIA;N/I;62,014722;-49,670833
BGQQ;NAQ;QAANAAQ AIRPORT;QAANAAQ;;GROENLÂNDIA;N/I;77,488611;-69,388611
BGSF;SFJ;KANGERLUSSUAQ AIRPORT (SØNDRE STRØMFJORD AIRPORT);KANGERLUSSUAQ (SØNDRE STRØMFJORD);;GROENLÂNDIA;N/I;67,016944;-50,689444
BGSS;JHS;SISIMIUT AIRPORT (HOLSTEINSBORG AIRPORT);SISIMIUT (HOLSTEINSBORG);;GROENLÂNDIA;N/I;66,951389;-53,729444
BGTL;THU;THULE AIR BASE;PITUFFIK, QAANAAQ;;GROENLÂNDIA;N/I;76,531111;-68,703056
BGUK;JUV;UPERNAVIK AIRPORT;UPERNAVIK;;GROENLÂNDIA;N/I;72,790278;-56,130556
BGUQ;JQA;QAARSUT AIRPORT;QAARSUT;;GROENLÂNDIA;N/I;70,734167;-52,696111
BIAR;AEY;AKUREYRI AIRPORT;AKUREYRI;;ISLÂNDIA;N/I;65,659994;-18,072703
BIBD;BIU;BÍLDUDALUR AIRPORT;BÍLDUDALUR;;ISLÂNDIA;N/I;65,641389;-23,546111
BIBL;BLO;BLÖNDUÓS AIRPORT;BLÖNDUÓS;;ISLÂNDIA;N/I;65,645;-20,2875
BIDV;DJU;DJUPIVOGUR AIRPORT;DJUPIVOGUR;;ISLÂNDIA;N/I;64,643056;-14,277778
BIEG;EGS;EGILSSTAÐIR AIRPORT;EGILSSTAÐIR;;ISLÂNDIA;N/I;65,283333;-14,401389
BIGJ;GJR;GJÖGUR AIRPORT;GJÖGUR;;ISLÂNDIA;N/I;65,993308;-21,329622
BIGR;GRY;GRÍMSEY AIRPORT;GRÍMSEY;;ISLÂNDIA;N/I;66,546667;-18,018611
BIHN;HFN;HORNAFJÖRÐUR AIRPORT;HÖFN;;ISLÂNDIA;N/I;64,295556;-15,227222
BIHU;HZK;HÚSAVÍK AIRPORT;HÚSAVÍK;;ISLÂNDIA;N/I;65,952222;-17,425833
BIIS;IFJ;ÍSAFJÖRÐUR AIRPORT;ÍSAFJÖRÐUR;;ISLÂNDIA;N/I;66,058056;-23,135278
BIKF;KEF;KEFLAVÍK INTERNATIONAL AIRPORT (FLUGSTÖÐ LEIFS EIRÍKSSONAR);KEFLAVÍK;;ISLÂNDIA;N/I;63,985;-22,605556
BIKR;SAK;SAUÐÁRKRÓKUR AIRPORT;SAUÐÁRKRÓKUR;;ISLÂNDIA;N/I;65,731667;-19,572778
BIPA;PFJ;PATREKSFJÖRÐUR AIRPORT;PATREKSFJÖRÐUR;;ISLÂNDIA;N/I;65,555833;-23,965
BIRF;OLI;RIF AIRPORT;ÓLAFSVÍK;;ISLÂNDIA;N/I;64,911111;-23,816667
BIRG;RFN;RAUFARHÖFN AIRPORT;RAUFARHÖFN;;ISLÂNDIA;N/I;66,406944;-15,925
BIRK;RKV;REYKJAVÍK AIRPORT;REYKJAVÍK;;ISLÂNDIA;N/I;64,13;-21,940556
BISI;SIJ;SIGLUFJÖRÐUR AIRPORT;SIGLUFJÖRÐUR;;ISLÂNDIA;N/I;66,133333;-18,916667
BIST;SYK;STYKKISHÓLMUR AIRPORT;STYKKISHÓLMUR;;ISLÂNDIA;N/I;65,059722;-22,758333
BITN;THO;THORSHOFN AIRPORT;ÞÓRSHÖFN;;ISLÂNDIA;N/I;66,218333;-15,335556
BIVM;VEY;VESTMANNAEYJAR AIRPORT;VESTMANNAEYJAR;;ISLÂNDIA;N/I;63,425;-20,279167
BIVO;VPN;VOPNAFJÖRÐUR AIRPORT;VOPNAFJÖRÐUR;;ISLÂNDIA;N/I;65,720556;-14,850556
BKPR;PRN;PRISTINA INTERNATIONAL AIRPORT;SLATINA;;KOSOVO;N/I;42,572778;21,035833
CYAC;YAC;CAT LAKE AIRPORT;CAT LAKE, ONTARIO;;CANADÁ;N/I;51,727222;-91,824444
CYAD;YAR;LA GRANDE-3 AIRPORT;LA GRANDE-3 GENERATING STATION, QUEBEC;;CANADÁ;N/I;53,571667;-76,196389
CYAG;YAG;FORT FRANCES MUNICIPAL AIRPORT;FORT FRANCES, ONTARIO;;CANADÁ;N/I;48,654444;-93,440556
CYAH;YAH;LA GRANDE-4 AIRPORT;LA GRANDE-4 GENERATING STATION, QUEBEC;;CANADÁ;N/I;53,754722;-73,675278
