SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
EDDW;BRE;BREMEN AIRPORT;BREMEN;;ALEMANHA;N/I;53,0475;8,786667
EDFE;QEF;FRANKFURT EGELSBACH AIRPORT;FRANKFURT AM MAIN;;ALEMANHA;N/I;49,961111;8,643611
EDFH;HHN;FRANKFURT-HAHN AIRPORT;RHINELAND-PALATINATE;;ALEMANHA;N/I;49,948333;7,264167
EDFM;MHG;MANNHEIM CITY AIRPORT;MANNHEIM;;ALEMANHA;N/I;49,4725;8,514167
EDGS;SGE;SIEGERLAND AIRPORT;BURBACH;;ALEMANHA;N/I;50,707778;8,083056
EDHI;XFW;HAMBURG FINKENWERDER AIRPORT;HAMBURG;;ALEMANHA;N/I;53,535833;9,836944
EDHK;KEL;KIEL HOLTENAU AIRPORT;KIEL;;ALEMANHA;N/I;54,379444;10,145278
EDHL;LBC;LÜBECK AIRPORT;LÜBECK;;ALEMANHA;N/I;53,805278;10,719167
EDJA;FMM;ALLGÄU AIRPORT;MEMMINGEN;;ALEMANHA;N/I;47,98861;10,23944
EDKA;AAH;AACHEN-MERZBRÜCK AIRPORT;AACHEN;;ALEMANHA;N/I;50,823333;6,186389
EDLN;MGL;DÜSSELDORF-MÖNCHENGLADBACH AIRPORT;MÖNCHENGLADBACH;;ALEMANHA;N/I;51,230278;6,504444
EDLP;PAD;PADERBORN LIPPSTADT AIRPORT;PADERBORN/LIPPSTADT;;ALEMANHA;N/I;51,615278;8,617222
EDLV;NRN;WEEZE AIRPORT (FORMERLY NIEDERRHEIN AIRPORT);WEEZE;;ALEMANHA;N/I;51,6025;6,142222
EDLW;DTM;DORTMUND AIRPORT;DORTMUND;;ALEMANHA;N/I;51,518333;7,612222
EDMA;AGB;AUGSBURG AIRPORT;AUGSBURG;;ALEMANHA;N/I;48,425278;10,931667
EDMO;OBF;OBERPFAFFENHOFEN AIRPORT;OBERPFAFFENHOFEN;;ALEMANHA;N/I;48,08139;11,28306
EDMS;RBM;STRAUBING WALLMUHLE AIRPORT;STRAUBING;;ALEMANHA;N/I;48,901389;12,5175
EDNY;FDH;BODENSEE AIRPORT;FRIEDRICHSHAFEN;;ALEMANHA;1A;47,6714;9,5114
EDOP;SZW;SCHWERIN-PARCHIM AIRPORT;PARCHIM;;ALEMANHA;N/I;53,428611;11,781944
EDQD;BYU;BINDLACHER BERG AIRPORT (BAYREUTH AIRPORT);BAYREUTH;;ALEMANHA;N/I;49,985556;11,64
EDRB;BBJ;BITBURG AIRPORT;BITBURG;;ALEMANHA;N/I;49,945278;6,565
EDRT;ZQE;TRIER-FÖHREN AIRPORT;TRIER;;ALEMANHA;N/I;49,863333;6,788056
EDRZ;ZQW;ZWEIBRÜCKEN AIRPORT;ZWEIBRÜCKEN;;ALEMANHA;N/I;49,2;7,417778
EDSB;FKB;BADEN AIRPARK;BADEN-BADEN/KARLSRUHE;;ALEMANHA;N/I;48,779444;8,080556
EDTL;LHA;BLACKFORESTAIRPORT;LAHR;;ALEMANHA;N/I;48,36925;7,827722
EDVK;KSF;KASSEL CALDEN AIRPORT;KASSEL;;ALEMANHA;N/I;51,408333;9,3775
EDWB;BRV;BREMERHAVEN AIRPORT;BREMERHAVEN;;ALEMANHA;N/I;53,506944;8,572778
EDXB;HEI;HEIDE-BÜSUMAIRPORT;HEIDE;;ALEMANHA;N/I;54,153333;8,901667
EDXH;HGL;HELIGOLAND AIRPORT;HELIGOLAND;;ALEMANHA;N/I;54,186944;7,916667
EDXW;GWT;SYLT AIRPORT;WESTERLAND, SYLT;;ALEMANHA;N/I;54,913333;8,340556
EEKA;KDL;KÄRDLA AIRPORT;KÄRDLA;;ESTÔNIA;N/I;58,990556;22,830556
EEKE;URE;KURESSAARE AIRPORT;KURESSAARE;;ESTÔNIA;N/I;58,229722;22,509444
EEPU;EPU;PÄRNU AIRPORT;PÄRNU;;ESTÔNIA;N/I;58,419167;24,472778
EETN;TLL;LENNART MERI TALLINN AIRPORT;TALLINN;;ESTÔNIA;N/I;59,416389;24,799167
EETU;TAY;TARTU AIRPORT;TARTU;;ESTÔNIA;N/I;58,3075;26,686944
EFET;ENF;ENONTEKIÖ AIRPORT;ENONTEKIÖ;;FINLÂNDIA;N/I;68,364444;23,4275
EFHA;KEV;HALLI AIRPORT;KUOREVESI;;FINLÂNDIA;N/I;61,856389;24,789167
EFHF;HEM;HELSINKI-MALMI AIRPORT;HELSINKI;;FINLÂNDIA;N/I;60,253889;25,044167
EFHK;HEL;HELSINKI-VANTAA AIRPORT;VANTAA;;FINLÂNDIA;N/I;60,317222;24,963333
EFHV;HYV;HYVINKÄÄ AIRPORT;HYVINKÄÄ;;FINLÂNDIA;N/I;60,654444;24,881111
EFIT;KTQ;KITEE AIRPORT;KITEE;;FINLÂNDIA;N/I;62,166111;30,073611
EFIV;IVL;IVALO AIRPORT;IVALO/INARI;;FINLÂNDIA;N/I;68,610833;27,413889
EFJO;JOE;JOENSUU AIRPORT;JOENSUU/LIPERI;;FINLÂNDIA;N/I;62,658889;29,624444
EFJY;JYV;JYVÄSKYLÄ AIRPORT;JYVÄSKYLÄN MAALAISKUNTA;;FINLÂNDIA;N/I;62,400833;25,672778
EFKA;KAU;KAUHAVA AIRPORT;KAUHAVA;;FINLÂNDIA;N/I;63,124167;23,051111
EFKE;KEM;KEMI-TORNIO AIRPORT;KEMI/TORNIO;;FINLÂNDIA;N/I;65,779167;24,584722
EFKI;KAJ;KAJAANI AIRPORT;KAJAANI;;FINLÂNDIA;N/I;64,284167;27,6875
EFKJ;KHJ;KAUHAJOKI AIRPORT;KAUHAJOKI;;FINLÂNDIA;N/I;62,4625;22,393056
EFKK;KOK;KOKKOLA-PIETARSAARI AIRPORT;KRONOBY;;FINLÂNDIA;N/I;63,720278;23,139167
EFKS;KAO;KUUSAMO AIRPORT;KUUSAMO;;FINLÂNDIA;N/I;65,990278;29,231944
EFKT;KTT;KITTILÄ AIRPORT;KITTILÄ;;FINLÂNDIA;N/I;67,698611;24,848056
EFKU;KUO;KUOPIO AIRPORT;KUOPIO/SIILINJÄRVI;;FINLÂNDIA;N/I;63,008611;27,794444
EFLP;LPP;LAPPEENRANTA AIRPORT;LAPPEENRANTA;;FINLÂNDIA;N/I;61,045833;28,148611
EFMA;MHQ;MARIEHAMN AIRPORT;MARIEHAMN;;FINLÂNDIA;N/I;60,121944;19,896389
EFMI;MIK;MIKKELI AIRPORT;MIKKELI;;FINLÂNDIA;N/I;61,686389;27,2
EFOU;OUL;OULU AIRPORT;OULUNSALO;;FINLÂNDIA;N/I;64,929167;25,355556
EFPO;POR;PORI AIRPORT;PORI;;FINLÂNDIA;N/I;61,461389;21,797778
EFRO;RVN;ROVANIEMI AIRPORT;ROVANIEMI;;FINLÂNDIA;N/I;66,561667;25,830833
EFSA;SVL;SAVONLINNA AIRPORT;SAVONLINNA;;FINLÂNDIA;N/I;61,942778;28,945
EFSI;SJY;SEINAJOKI AIRPORT;SEINAJOKI;;FINLÂNDIA;N/I;62,693611;22,831944
EFSO;SOT;SODANKYLÄ AIRPORT;SODANKYLÄ;;FINLÂNDIA;N/I;67,396667;26,618056
EFTP;TMP;TAMPERE-PIRKKALA AIRPORT;TAMPERE/PIRKKALA;;FINLÂNDIA;N/I;61,415278;23,587778
EFTU;TKU;TURKU AIRPORT;TURKU;;FINLÂNDIA;N/I;60,514722;22,261667
EFUT;UTI;UTTI AIRPORT;UTTI/VALKEALA;;FINLÂNDIA;N/I;60,896389;26,938056
EFVA;VAA;VAASA AIRPORT;VAASA;;FINLÂNDIA;N/I;63,045278;21,764167
EFVR;VRK;VARKAUS AIRPORT;VARKAUS/JOROINEN;;FINLÂNDIA;N/I;62,171111;27,868611
EFYL;YLI;YLIVIESKA AIRPORT;YLIVIESKA;;FINLÂNDIA;N/I;64,054722;24,725278
EGAA;BFS;BELFAST INTERNATIONAL AIRPORT;BELFAST, NORTHERN IRELAND;;REINO UNIDO;N/I;54,6575;-6,215833
EGAB;ENK;ENNISKILLEN/ST ANGELO AIRPORT;ENNISKILLEN, NORTHERN IRELAND;;REINO UNIDO;N/I;54,398611;-7,651944
EGAC;BHD;GEORGE BEST BELFAST CITY AIRPORT;BELFAST, NORTHERN IRELAND;;REINO UNIDO;N/I;54,618056;-5,8725
EGAE;LDY;CITY OF DERRY AIRPORT;DERRY, NORTHERN IRELAND;;REINO UNIDO;N/I;55,042778;-7,161944
EGBB;BHX;BIRMINGHAM AIRPORT;BIRMINGHAM, ENGLAND;;REINO UNIDO;N/I;52,453889;-1,748056
EGBE;CVT;COVENTRY AIRPORT;COVENTRY, ENGLAND;;REINO UNIDO;N/I;52,3725;-1,479722
EGBJ;GLO;GLOUCESTERSHIRE AIRPORT;STAVERTON, ENGLAND;;REINO UNIDO;N/I;51,894167;-2,167222
EGBK;ORM;SYWELL AERODROME;NORTHAMPTON, ENGLAND;;REINO UNIDO;N/I;52,306111;-0,791389
EGBN;NQT;NOTTINGHAM AIRPORT;NOTTINGHAM, ENGLAND;;REINO UNIDO;N/I;52,92;-1,079167
EGBP;GBA;COTSWOLD AIRPORT;KEMBLE, ENGLAND;;REINO UNIDO;N/I;51,668056;-2,056944
EGCC;MAN;MANCHESTER AIRPORT;MANCHESTER, ENGLAND;;REINO UNIDO;N/I;53,353889;-2,275
EGCD;WFD;WOODFORD AERODROME (CLOSED 2012);STOCKPORT, ENGLAND;;REINO UNIDO;N/I;53,338056;-2,148889
EGCN;DSA;ROBIN HOOD AIRPORT DONCASTER SHEFFIELD;SOUTH YORKSHIRE, ENGLAND;;REINO UNIDO;N/I;53,474722;-1,004444
EGDJ;UPV;UPAVON AIRFIELD;UPAVON, ENGLAND;;REINO UNIDO;N/I;51,290556;-1,778333
EGDL;LYE;RAF LYNEHAM;WILTSHIRE, ENGLAND;;REINO UNIDO;N/I;51,505278;-1,993333
EGDX;DGX;MOD SAINT ATHAN;ST ATHAN, WALES;;REINO UNIDO;N/I;51,404722;-3,435833
EGDY;YEO;RNAS YEOVILTON;YEOVIL, ENGLAND;;REINO UNIDO;N/I;51,009444;-2,638889
EGEC;CAL;CAMPBELTOWN AIRPORT;CAMPBELTOWN, SCOTLAND;;REINO UNIDO;N/I;55,437222;-5,686389
EGED;EOI;EDAY AIRPORT;EDAY, SCOTLAND;;REINO UNIDO;N/I;59,190556;-2,772222
EGEF;FIE;FAIR ISLE AIRPORT;FAIR ISLE, SCOTLAND;;REINO UNIDO;N/I;59,535278;-1,617222
EGEH;WHS;WHALSAY AIRPORT;WHALSAY, SCOTLAND;;REINO UNIDO;N/I;60,376648;-0,927356
EGEN;NRL;NORTH RONALDSAY AIRPORT;NORTH RONALDSAY, SCOTLAND;;REINO UNIDO;N/I;59,3675;-2,434444
EGEO;OBN;OBAN AIRPORT;OBAN, SCOTLAND;;REINO UNIDO;N/I;56,463611;-5,4
EGEP;PPW;PAPA WESTRAY AIRPORT;PAPA WESTRAY, SCOTLAND;;REINO UNIDO;N/I;59,351667;-2,900278
EGER;SOY;STRONSAY AIRPORT;STRONSAY, SCOTLAND;;REINO UNIDO;N/I;59,155278;-2,641389
EGES;NDY;SANDAY AIRPORT;SANDAY, SCOTLAND;;REINO UNIDO;N/I;59,250278;-2,576667
EGET;LWK;TINGWALL AIRPORT;LERWICK, SCOTLAND;;REINO UNIDO;N/I;60,191944;-1,243611
EGEW;WRY;WESTRAY AIRPORT;WESTRAY, SCOTLAND;;REINO UNIDO;N/I;59,350278;-2,950556
EGFE;HAW;HAVERFORDWEST AERODROME;HAVERFORDWEST, WALES;;REINO UNIDO;N/I;51,833056;-4,961111
EGFF;CWL;CARDIFF INTERNATIONAL AIRPORT;CARDIFF, WALES;;REINO UNIDO;N/I;51,396667;-3,343333
EGFH;SWS;SWANSEA AIRPORT;SWANSEA, WALES;;REINO UNIDO;N/I;51,605278;-4,067778
EGGD;BRS;BRISTOL AIRPORT;BRISTOL, ENGLAND;;REINO UNIDO;N/I;51,382778;-2,719167
EGGP;LPL;LIVERPOOL JOHN LENNON AIRPORT;LIVERPOOL, ENGLAND;;REINO UNIDO;N/I;53,333611;-2,849722
EGGW;LTN;LONDON LUTON AIRPORT;LONDON, ENGLAND;;REINO UNIDO;N/I;51,874722;-0,368333
EGHC;LEQ;LAND´S END AIRPORT;ST JUST IN PENWITH, ENGLAND;;REINO UNIDO;N/I;50,102778;-5,670556
EGHD;PLH;PLYMOUTH CITY AIRPORT;PLYMOUTH, ENGLAND (CLOSED 2011);;REINO UNIDO;N/I;50,422778;-4,105833
EGHE;ISC;ST. MARY´S AIRPORT;ST. MARY´S, ENGLAND;;REINO UNIDO;N/I;49,913333;-6,291667
EGHH;BOH;BOURNEMOUTH AIRPORT;BOURNEMOUTH, ENGLAND;;REINO UNIDO;N/I;50,78;-1,8425
EGHI;SOU;SOUTHAMPTON AIRPORT;SOUTHAMPTON, ENGLAND;;REINO UNIDO;N/I;50,950278;-1,356667
EGHJ;BBP;BEMBRIDGE AIRPORT;SANDOWN, ENGLAND;;REINO UNIDO;N/I;50,678056;-1,109444
EGHK;PZE;PENZANCE HELIPORT;PENZANCE;;REINO UNIDO;N/I;50,128056;-5,518333
EGHL;QLA;LASHAM AIRFIELD;BASINGSTOKE, ENGLAND;;REINO UNIDO;N/I;51,187222;-1,033611
EGHQ;NQY;NEWQUAY CORNWALL AIRPORT;ST MAWGAN, CORNWALL, ENGLAND;;REINO UNIDO;N/I;50,440833;-4,995278
EGJA;ACI;ALDERNEY AIRPORT;ALDERNEY, CHANNEL ISLANDS;;REINO UNIDO;N/I;49,706111;-2,214722
EGJB;GCI;GUERNSEY AIRPORT;GUERNSEY, CHANNEL ISLANDS;;REINO UNIDO;N/I;49,435;-2,601944
EGJJ;JER;JERSEY AIRPORT & AVIATION BEAUPORT;JERSEY, CHANNEL ISLANDS;;REINO UNIDO;N/I;49,208056;-2,195278
EGKA;ESH;SHOREHAM AIRPORT;SHOREHAM-BY-SEA, ENGLAND;;REINO UNIDO;N/I;50,835556;-0,297222
EGKB;BQH;LONDON BIGGIN HILL AIRPORT;LONDON, ENGLAND;;REINO UNIDO;N/I;51,330833;0,0325
EGKK;LGW;LONDON GATWICK AIRPORT;LONDON, ENGLAND;;REINO UNIDO;N/I;51,148056;-0,190278
EGKR;KRH;REDHILL AERODROME;REDHILL, ENGLAND;;REINO UNIDO;N/I;51,213611;-0,138611
EGLC;LCY;LONDON CITY AIRPORT;LONDON, ENGLAND;;REINO UNIDO;N/I;51,505278;0,055278
EGLF;FAB;FARNBOROUGH AIRFIELD;FARNBOROUGH, ENGLAND;;REINO UNIDO;N/I;51,275278;-0,7775
EGLK;BBS;BLACKBUSHE AIRPORT;CAMBERLEY, ENGLAND;;REINO UNIDO;N/I;51,323889;-0,8475
EGLL;LHR;LONDON HEATHROW AIRPORT;LONDON, ENGLAND;;REINO UNIDO;N/I;51,4775;-0,461389
EGMC;SEN;LONDON SOUTHEND AIRPORT;SOUTHEND-ON-SEA, ENGLAND;;REINO UNIDO;N/I;51,570278;0,693333
EGMD;LYX;LONDON ASHFORD AIRPORT;LYDD, ENGLAND;;REINO UNIDO;N/I;50,956111;0,939167
EGMH;MSE;KENT INTERNATIONAL AIRPORT;RAMSGATE, ENGLAND;;REINO UNIDO;N/I;51,342222;1,346111
EGMK;LYM;LYMPNE AIRPORT;LYMPNE, KENT, ENGLAND;;REINO UNIDO;N/I;51,083333;1,016667
EGNC;CAX;CARLISLE LAKE DISTRICT AIRPORT;CARLISLE, ENGLAND;;REINO UNIDO;N/I;54,9375;-2,809167
EGNH;BLK;BLACKPOOL INTERNATIONAL AIRPORT;BLACKPOOL, ENGLAND;;REINO UNIDO;N/I;53,771389;-3,028333
EGNJ;HUY;HUMBERSIDE AIRPORT;KINGSTON UPON HULL, ENGLAND;;REINO UNIDO;N/I;53,771389;-3,028333
EGNL;BWF;BARROW/WALNEY ISLAND AIRFIELD;BARROW-IN-FURNESS, ENGLAND;;REINO UNIDO;N/I;54,128611;-3,267222
EGNM;LBA;LEEDS BRADFORD INTERNATIONAL AIRPORT;WEST YORKSHIRE, ENGLAND;;REINO UNIDO;N/I;53,865833;-1,660556
EGNO;WRT;WARTON AERODROME;WARTON, LANCASHIRE, ENGLAND;;REINO UNIDO;N/I;53,745;-2,883889
EGNR;CEG;HAWARDEN AIRPORT;CHESTER, ENGLAND;;REINO UNIDO;N/I;53,178056;-2,977778
EGNS;IOM;ISLE OF MAN AIRPORT;ISLE OF MAN;;REINO UNIDO;N/I;54,083333;-4,623333
EGNT;NCL;NEWCASTLE AIRPORT;NEWCASTLE UPON TYNE, ENGLAND;;REINO UNIDO;1A;55,0381;-1,6897
EGNV;MME;DURHAM TEES VALLEY AIRPORT;TEES VALLEY, ENGLAND;;REINO UNIDO;N/I;54,509167;-1,429444
EGNX;EMA;EAST MIDLANDS AIRPORT;EAST MIDLANDS, ENGLAND;;REINO UNIDO;1A;52,8311;-1,3278
EGOV;VLY;RAF VALLEY/ANGLESEY AIRPORT;ANGLESEY, WALES;;REINO UNIDO;N/I;53,248056;-4,535278
EGPA;KOI;KIRKWALL AIRPORT;KIRKWALL, SCOTLAND;;REINO UNIDO;N/I;53,581667;-3,055556
EGPB;LSI;SUMBURGH AIRPORT;SHETLAND ISLANDS, SCOTLAND;;REINO UNIDO;N/I;59,881389;-1,293889
EGPC;WIC;WICK AIRPORT;WICK, SCOTLAND;;REINO UNIDO;N/I;58,458889;-3,093056
EGPD;ABZ;ABERDEEN AIRPORT;ABERDEEN, SCOTLAND;;REINO UNIDO;N/I;57,201944;-2,197778
EGPE;INV;INVERNESS AIRPORT;INVERNESS, SCOTLAND;;REINO UNIDO;N/I;57,5425;-4,0475
EGPF;GLA;GLASGOW INTERNATIONAL AIRPORT;GLASGOW, SCOTLAND;;REINO UNIDO;N/I;55,871944;-4,433056
EGPH;EDI;EDINBURGH AIRPORT;EDINBURGH, SCOTLAND;;REINO UNIDO;N/I;55,95;-3,3725
EGPI;ILY;ISLAY AIRPORT;ISLAY, SCOTLAND;;REINO UNIDO;N/I;55,683333;-6,249167
EGPK;PIK;GLASGOW PRESTWICK INTERNATIONAL AIRPORT;GLASGOW, SCOTLAND;;REINO UNIDO;N/I;55,509444;-4,594444
EGPL;BEB;BENBECULA AIRPORT;BENBECULA, SCOTLAND;;REINO UNIDO;N/I;57,481111;-7,362778
EGPM;SCS;SCATSTA AIRPORT;LERWICK, SCOTLAND;;REINO UNIDO;N/I;60,432778;-1,296111
EGPN;DND;DUNDEE AIRPORT;DUNDEE, SCOTLAND;;REINO UNIDO;N/I;56,4525;-3,0175
EGPO;SYY;STORNOWAY AIRPORT;STORNOWAY, SCOTLAND;;REINO UNIDO;N/I;58,215556;-6,331111
EGPR;BRR;BARRA AIRPORT;BARRA, SCOTLAND;;REINO UNIDO;N/I;57,025278;-7,443056
EGPT;PSL;PERTH AIRPORT (SCOTLAND);PERTH, SCOTLAND;;REINO UNIDO;N/I;56,439167;-3,373889
EGPU;TRE;TIREE AIRPORT;TIREE, SCOTLAND;;REINO UNIDO;N/I;56,500833;-6,869167
EGQK;FSS;RAF KINLOSS;KINLOSS, SCOTLAND;;REINO UNIDO;N/I;57,649444;-3,560556
EGQL;ADX;RAF LEUCHARS;LEUCHARS, SCOTLAND;;REINO UNIDO;N/I;56,373056;-2,868611
EGQS;LMO;RAF LOSSIEMOUTH;LOSSIEMOUTH, SCOTLAND;;REINO UNIDO;N/I;57,705278;-3,339167
EGSC;CBG;CAMBRIDGE AIRPORT;CAMBRIDGE, ENGLAND;;REINO UNIDO;N/I;52,205;0,175
EGSH;NWI;NORWICH INTERNATIONAL AIRPORT;NORWICH, ENGLAND;;REINO UNIDO;N/I;52,675833;1,282778
EGSS;STN;LONDON STANSTED AIRPORT;LONDON, ENGLAND;;REINO UNIDO;N/I;51,885;0,235
EGSU;QFO;DUXFORD;CAMBRIDGE, ENGLAND;;REINO UNIDO;N/I;5,209226;0,15944
EGTB;HYC;WYCOMBE AIR PARK/BOOKER AIRPORT;HIGH WYCOMBE, ENGLAND;;REINO UNIDO;N/I;51,611667;0,808333
EGTE;EXT;EXETER INTERNATIONAL AIRPORT;EXETER, ENGLAND;;REINO UNIDO;1A;50,734444;-3,413889
EGTG;FZO;BRISTOL FILTON AIRPORT (CLOSED);FILTON, ENGLAND;;REINO UNIDO;N/I;51,519444;2,593611
EGTH;HTF;HATFIELD AERODROME (CLOSED);HATFIELD, ENGLAND;;REINO UNIDO;N/I;51,765833;-0,250833
EGTK;OXF;OXFORD AIRPORT;OXFORD, ENGLAND;;REINO UNIDO;N/I;51,836944;-1,32
EGTO;RCS;ROCHESTER AIRPORT, ENGLAND;ROCHESTER, ENGLAND;;REINO UNIDO;N/I;51,351944;0,502778
EGUB;BEX;RAF BENSON;BENSON, ENGLAND;;REINO UNIDO;N/I;51,616389;1,095833
EGUD;ABB;RAF ABINGDON;ABINGDON, ENGLAND;;REINO UNIDO;N/I;51,690833;1,316667
EGUL;LKZ;RAF LAKENHEATH;LAKENHEATH, ENGLAND;;REINO UNIDO;N/I;52,408333;0,556667
EGUN;MHZ;RAF MILDENHALL;MILDENHALL, ENGLAND;;REINO UNIDO;N/I;52,365;0,480833
EGUY;QUY;RAF WYTON;ST IVES, ENGLAND;;REINO UNIDO;N/I;52,357222;-1,07778
EGVA;FFD;RAF FAIRFORD;FAIRFORD, ENGLAND;;REINO UNIDO;N/I;51,682222;-1,79
EGVN;BZZ;RAF BRIZE NORTON;BRIZE NORTON, ENGLAND;;REINO UNIDO;N/I;51,75;-1,583611
EGVO;ODH;RAF ODIHAM;ODIHAM, ENGLAND;;REINO UNIDO;N/I;51,234167;-0,942778
EGWU;NHT;RAF NORTHOLT;RUISLIP, ENGLAND;;REINO UNIDO;N/I;51,553056;-0,418333
EGXC;QCY;RAF CONINGSBY;CONINGSBY, ENGLAND;;REINO UNIDO;N/I;53,093056;-0,166111
EGXH;BEQ;RAF HONINGTON;THETFORD, ENGLAND;;REINO UNIDO;N/I;52,3425;-0,773056
EGXP;SQZ;RAF SCAMPTON;SCAMPTON, ENGLAND;;REINO UNIDO;N/I;53,307778;-0,550833
EGXU;HRT;RAF LINTON-ON-OUSE;LINTON-ON-OUSE, ENGLAND;;REINO UNIDO;N/I;54,048889;-1,252778
EGXW;WTN;RAF WADDINGTON;WADDINGTON, ENGLAND;;REINO UNIDO;N/I;53,1725;-0,530833
EGYM;KNF;RAF MARHAM;MARHAM, ENGLAND;;REINO UNIDO;N/I;52,648333;0,550556
EGYP;MPN;RAF MOUNT PLEASANT;FALKLAND ISLANDS;;REINO UNIDO;N/I;-51,822778;-58,447222
EHAM;AMS;AMSTERDAM AIRPORT SCHIPHOL;HAARLEMMERMEER, NEAR AMSTERDAM;;HOLANDA;N/I;52,308056;4,764167
EHBK;MST;MAASTRICHT AACHEN AIRPORT;BEEK;;HOLANDA;N/I;50,915833;5,776944
EHEH;EIN;EINDHOVEN AIRPORT;EINDHOVEN;;HOLANDA;N/I;51,45;5,374444
EHGG;GRQ;GRONINGEN AIRPORT EELDE;EELDE;;HOLANDA;N/I;53,125;6,583333
EHGR;GLZ;GILZE-RIJEN AIRBASE;RIJEN AIRBASE,  GILZE AND RIJEN;;HOLANDA;N/I;51,567222;4,931667
EHKD;DHR;DE KOOY;DE KOOY;;HOLANDA;N/I;52,923611;4,780556
EHLE;LEY;LELYSTAD AIRPORT;LELYSTAD;;HOLANDA;N/I;52,460278;5,527222
EHLW;LWR;LEEUWARDEN AIR BASE;LEEUWARDEN;;HOLANDA;N/I;53,228611;5,760556
EHRD;RTM;ROTTERDAM THE HAGUE AIRPORT;ROTTERDAM;;HOLANDA;N/I;51,956944;4,437222
EHSB;UTC;SOESTERBERG AIR BASE;SOESTERBERG;;HOLANDA;N/I;52,134167;5,283056
EHTW;ENS;ENSCHEDE AIRPORT TWENTE;ENSCHEDE;;HOLANDA;N/I;52,275833;6,889167
EHVK;UDE;VOLKEL AIRBASE;UDEN;;HOLANDA;N/I;51,657222;5,690833
EHWO;WOE;WOENSDRECHT AIR BASE;WOENSDRECHT;;HOLANDA;N/I;51,448889;4,341667
EIBN;BYT;BANTRY AERODROME;BANTRY, COUNTY CORK;;IRLANDA;N/I;51,668889;-9,484444
EICA;NNR;CONNEMARA REGIONAL AIRPORT;INVERIN, CONNEMARA;;IRLANDA;N/I;53,230556;-9,467778
EICK;ORK;CORK INTERNATIONAL AIRPORT;CORK;;IRLANDA;N/I;51,841389;-8,491111
EICM;GWY;GALWAY AIRPORT;CARNMORE, COUNTY GALWAY;;IRLANDA;N/I;53,300278;-8,941111
EIDL;CFN;DONEGAL AIRPORT;CARRICKFINN, COUNTY DONEGAL;;IRLANDA;N/I;55,044167;-8,341111
EIDW;DUB;DUBLIN INTERNATIONAL AIRPORT;DUBLIN;;IRLANDA;N/I;53,421389;-6,27
EIIM;IOR;INISHMORE AERODROME (KILRONAN AIRPORT);KILRONAN, COUNTY GALWAY;;IRLANDA;N/I;53,106944;-9,653889
EIKL;KKY;KILKENNY AIRPORT;KILKENNY, COUNTY KILKENNY;;IRLANDA;N/I;52,650833;-7,296111
EIKN;NOC;KNOCK INTERNATIONAL AIRPORT;KNOCK, COUNTY MAYO;;IRLANDA;N/I;53,910278;-8,818611
EIKY;KIR;KERRY AIRPORT (FARRANFORE AIRPORT);FARRANFORE, COUNTY KERRY;;IRLANDA;N/I;52,180833;-9,523889
EINN;SNN;SHANNON AIRPORT;SHANNON, COUNTY CLARE;;IRLANDA;N/I;52,701944;-8,924722
EISG;SXL;SLIGO AIRPORT;STRANDHILL, NEAR SLIGO;;IRLANDA;N/I;54,280278;-8,599167
EIWF;WAT;WATERFORD AIRPORT;WATERFORD;;IRLANDA;N/I;52,187222;-7,086944
EKAH;AAR;AARHUS AIRPORT;TIRSTRUP NEAR AARHUS;;ILHAS FEROÉ;N/I;56,304167;10,619167
EKBI;BLL;BILLUND AIRPORT;BILLUND;;ILHAS FEROÉ;N/I;55,740278;9,151944
EKCH;CPH;COPENHAGEN AIRPORT;KASTRUP NEAR COPENHAGEN;;ILHAS FEROÉ;N/I;55,618056;12,656111
EKEB;EBJ;ESBJERG AIRPORT;ESBJERG;;ILHAS FEROÉ;N/I;55,525833;8,553333
EKKA;KRP;KARUP AIRPORT;KARUP;;ILHAS FEROÉ;N/I;56,2975;9,124722
EKMB;MRW;LOLLAND AIRPORT;MARIBO;;ILHAS FEROÉ;N/I;54,69938;11,43986
EKOD;ODE;ODENSE AIRPORT;ODENSE;;ILHAS FEROÉ;N/I;55,476667;10,330833
EKRK;RKE;ROSKILDE AIRPORT;TUNE NEAR ROSKILDE;;ILHAS FEROÉ;N/I;55,585556;12,131389
EKRN;RNN;BORNHOLM AIRPORT;RØNNE;;ILHAS FEROÉ;N/I;55,063333;14,759444
EKSB;SGD;SØNDERBORG AIRPORT;SØNDERBORG;;ILHAS FEROÉ;N/I;54,964444;9,791731
EKSN;CNL;SINDAL AIRPORT;SINDAL;;ILHAS FEROÉ;N/I;57,504722;10,226667
EKSP;SKS;SKRYDSTRUP AIRPORT;VOJENS;;ILHAS FEROÉ;N/I;55,233333;9,266667
EKSV;SQW;SKIVE AIRPORT;SKIVE;;ILHAS FEROÉ;N/I;56,55;9,172778
EKTS;TED;THISTED AIRPORT;THISTED;;ILHAS FEROÉ;N/I;57,0688;8,705225
EKVG;FAE;VÁGAR AIRPORT;FAROE ISLANDS;;ILHAS FEROÉ;N/I;62,063611;-7,277222
